match_id,season,date,team1,team2,winner,margin,venue,city
1324670,2022/23,2023/01/19,Melbourne Renegades,Sydney Thunder,Sydney Thunder,8 wickets,"Manuka Oval, Canberra",Canberra
1324671,2022/23,2023/01/20,Adelaide Strikers,Perth Scorchers,Perth Scorchers,7 wickets,Adelaide Oval,Adelaide
1324672,2022/23,2023/01/20,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,12 runs,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1324673,2022/23,2023/01/21,Sydney Sixers,Sydney Thunder,Sydney Sixers,125 runs,Sydney Cricket Ground,Sydney
1324674,2022/23,2023/01/22,Brisbane Heat,Melbourne Stars,Brisbane Heat,4 runs,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1324675,2022/23,2023/01/22,Perth Scorchers,Melbourne Renegades,Perth Scorchers,10 runs,Perth Stadium,Perth
1324676,2022/23,2023/01/23,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,24 runs,"Bellerive Oval, Hobart",Hobart
1324677,2022/23,2023/01/24,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,6 wickets,"Docklands Stadium, Melbourne",Melbourne
1324678,2022/23,2023/01/25,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,2 runs,"University of Tasmania Stadium, Launceston",Launceston
1324679,2022/23,2023/01/25,Melbourne Stars,Sydney Thunder,Sydney Thunder,3 wickets,Melbourne Cricket Ground,Melbourne
1324680,2022/23,2023/01/27,Brisbane Heat,Sydney Thunder,Brisbane Heat,8 runs,Sydney Showground Stadium,Sydney
1324681,2022/23,2023/01/28,Sydney Sixers,Perth Scorchers,Perth Scorchers,7 wickets,Perth Stadium,Perth
1324682,2022/23,2023/01/29,Melbourne Renegades,Brisbane Heat,Brisbane Heat,7 wickets,"Docklands Stadium, Melbourne",Melbourne
1324683,2022/23,2023/02/02,Sydney Sixers,Brisbane Heat,Brisbane Heat,4 wickets,Sydney Cricket Ground,Sydney
1324684,2022/23,2023/02/04,Brisbane Heat,Perth Scorchers,Perth Scorchers,5 wickets,Perth Stadium,Perth
1386094,2023/24,2023/12/07,Brisbane Heat,Melbourne Stars,Brisbane Heat,103 runs,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1386095,2023/24,2023/12/08,Sydney Sixers,Melbourne Renegades,Sydney Sixers,8 runs,Sydney Cricket Ground,Sydney
1386097,2023/24,2023/12/10,Perth Scorchers,Melbourne Renegades,,,"GMHBA Stadium, South Geelong, Victoria",Geelong
1386098,2023/24,2023/12/11,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,6 wickets,"University of Tasmania Stadium, Launceston",Launceston
1386099,2023/24,2023/12/12,Brisbane Heat,Sydney Thunder,Brisbane Heat,20 runs,"Manuka Oval, Canberra",Canberra
1386100,2023/24,2023/12/13,Melbourne Stars,Perth Scorchers,Perth Scorchers,7 wickets,Melbourne Cricket Ground,Melbourne
1386101,2023/24,2023/12/19,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,6 wickets,Adelaide Oval,Adelaide
