player,team,format,total_runs,balls_faced,matches,strike_rate
Nasir Hossain,Bangladesh,ODI,1240,1579,51,78.53
RR Rossouw,South Africa,ODI,1239,1341,35,92.39
J Da Silva,West Indies,Test,1238,3021,33,40.98
GC Wilson,Ireland,ODI,1232,1653,57,74.53
Imran Farhat,Pakistan,ODI,1232,1909,44,64.54
MJ Prior,England,ODI,1229,1652,57,74.39
DW Steyn,South Africa,Test,1226,2785,81,44.02
IK Pathan,India,ODI,1226,1548,71,79.2
Shahriar Nafees,Bangladesh,ODI,1216,1817,52,66.92
PG Fulton,New Zealand,ODI,1216,1726,43,70.45
WA Young,New Zealand,Test,1215,2598,23,46.77
RS Morton,West Indies,ODI,1205,1872,41,64.37
JD Campbell,West Indies,Test,1202,2387,27,50.36
GH Dockrell,Ireland,ODI,1197,1475,72,81.15
TP Ura,Papua New Guinea,ODI,1196,1526,51,78.37
Zeeshan Maqsood,Oman,ODI,1196,1855,45,64.47
Aqib Ilyas,Oman,ODI,1191,1648,29,72.27
GD Phillips,New Zealand,ODI,1191,1169,38,101.88
Shahriar Nafees,Bangladesh,Test,1188,2090,23,56.84
HH Dippenaar,South Africa,ODI,1185,1767,31,67.06
Abid Ali,Pakistan,Test,1180,2450,16,48.16
MDKJ Perera,Sri Lanka,Test,1177,1632,22,72.12
Raqibul Hasan,Bangladesh,ODI,1177,1910,48,61.62
MJ North,Australia,Test,1171,2434,21,48.11
PM Siddle,Australia,Test,1164,2470,59,47.13
JDP Oram,New Zealand,Test,1158,2187,20,52.95
BFW de Leede,Netherlands,ODI,1155,1621,44,71.25
MD Shanaka,Sri Lanka,ODI,1153,1317,56,87.55
JA Raval,New Zealand,Test,1143,2675,24,42.73
BT Foakes,England,Test,1139,2416,25,47.14
CD McMillan,New Zealand,ODI,1129,1393,46,81.05
JM Kemp,South Africa,ODI,1123,1364,50,82.33
Sikandar Raza,Zimbabwe,Test,1120,2052,18,54.58
P Utseya,Zimbabwe,ODI,1114,1935,97,57.57
DS Smith,West Indies,Test,1112,2463,29,45.15
JEC Franklin,New Zealand,ODI,1107,1425,61,77.68
RW Chakabva,Zimbabwe,ODI,1106,1650,50,67.03
BOP Fernando,Sri Lanka,Test,1104,2226,21,49.6
K Rabada,South Africa,Test,1102,2139,70,51.52
CJ Anderson,New Zealand,ODI,1102,1044,43,105.56
