match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
250669,ODI,2006/07,2007/02/07,Pakistan in South Africa ODI Series,2,South Africa,Pakistan,Pakistan,141 runs,Kingsmead,Durban
250670,ODI,2006/07,2007/02/09,Pakistan in South Africa ODI Series,3,South Africa,Pakistan,no result,,St George's Park,Port Elizabeth
250671,ODI,2006/07,2007/02/11,Pakistan in South Africa ODI Series,4,South Africa,Pakistan,South Africa,10 wickets,Newlands,Cape Town
250672,ODI,2006/07,2007/02/14,Pakistan in South Africa ODI Series,5,South Africa,Pakistan,South Africa,9 wickets,New Wanderers Stadium,Johannesburg
251489,ODI,2006/07,2006/12/28,Sri Lanka in New Zealand ODI Series,1,New Zealand,Sri Lanka,Sri Lanka,7 wickets,McLean Park,Napier
251491,ODI,2006/07,2007/01/02,Sri Lanka in New Zealand ODI Series,3,New Zealand,Sri Lanka,New Zealand,4 wickets,Jade Stadium,Christchurch
251492,ODI,2006/07,2007/01/06,Sri Lanka in New Zealand ODI Series,4,New Zealand,Sri Lanka,Sri Lanka,189 runs,Eden Park,Auckland
251494,ODI,2006/07,2007/02/16,Chappell-Hadlee Trophy,1,New Zealand,Australia,New Zealand,10 wickets,Westpac Stadium,Wellington
251495,ODI,2006/07,2007/02/18,Chappell-Hadlee Trophy,2,New Zealand,Australia,New Zealand,5 wickets,Eden Park,Auckland
251496,ODI,2006/07,2007/02/20,Chappell-Hadlee Trophy,3,New Zealand,Australia,New Zealand,1 wickets,Seddon Park,Hamilton
255961,ODI,2006/07,2006/09/15,Zimbabwe in South Africa ODI Series,1,South Africa,Zimbabwe,South Africa,5 wickets,Goodyear Park,Bloemfontein
256607,ODI,2006/07,2006/09/14,DLF Cup,2,India,West Indies,West Indies,29 runs,Kinrara Academy Oval,Kuala Lumpur
256608,ODI,2006/07,2006/09/16,DLF Cup,3,Australia,India,no result,,Kinrara Academy Oval,Kuala Lumpur
256610,ODI,2006/07,2006/09/18,DLF Cup,4,Australia,West Indies,West Indies,3 wickets,Kinrara Academy Oval,Kuala Lumpur
256612,ODI,2006/07,2006/09/20,DLF Cup,5,India,West Indies,India,16 runs,Kinrara Academy Oval,Kuala Lumpur
256614,ODI,2006/07,2006/09/22,DLF Cup,6,Australia,India,Australia,18 runs,Kinrara Academy Oval,Kuala Lumpur
256615,ODI,2006/07,2006/09/24,DLF Cup,,Australia,West Indies,Australia,127 runs,Kinrara Academy Oval,Kuala Lumpur
256665,ODI,2006,2006/08/18,India in Sri Lanka ODI Series,1,Sri Lanka,India,no result,,Sinhalese Sports Club Ground,Colombo
257470,ODI,2006/07,2006/09/20,Zimbabwe in South Africa ODI Series,3,South Africa,Zimbabwe,South Africa,171 runs,Sedgars Park,Potchefstroom
257769,ODI,2006/07,2006/12/07,West Indies in Pakistan ODI Series,2,Pakistan,West Indies,Pakistan,2 wickets,Iqbal Stadium,Faisalabad
257770,ODI,2006/07,2006/12/10,West Indies in Pakistan ODI Series,3,Pakistan,West Indies,Pakistan,7 wickets,Gaddafi Stadium,Lahore
257771,ODI,2006/07,2006/12/13,West Indies in Pakistan ODI Series,4,Pakistan,West Indies,West Indies,7 wickets,Multan Cricket Stadium,
257772,ODI,2006/07,2006/12/16,West Indies in Pakistan ODI Series,5,Pakistan,West Indies,Pakistan,7 wickets,National Stadium,Karachi
258465,ODI,2007,2007/07/01,NatWest Series,1,England,West Indies,England,79 runs,Lord's,London
258466,ODI,2007,2007/07/04,NatWest Series,2,England,West Indies,West Indies,61 runs,Edgbaston,Birmingham
258467,ODI,2007,2007/07/07,NatWest Series,3,England,West Indies,West Indies,93 runs,Trent Bridge,Nottingham
258471,ODI,2007,2007/08/21,NatWest Series,1,England,India,England,104 runs,The Rose Bowl,Southampton
258472,ODI,2007,2007/08/24,NatWest Series,2,England,India,India,9 runs,County Ground,Bristol
258473,ODI,2007,2007/08/27,NatWest Series,3,England,India,England,42 runs,Edgbaston,Birmingham
258474,ODI,2007,2007/08/30,NatWest Series,4,England,India,England,3 wickets,Old Trafford,Manchester
