match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
1466425,ODI,2024/25,2025/03/02,ICC Champions Trophy,12,India,New Zealand,India,44 runs,Dubai International Cricket Stadium,Dubai
1466426,ODI,2024/25,2025/03/04,ICC Champions Trophy,,Australia,India,India,4 wickets,Dubai International Cricket Stadium,Dubai
1466427,ODI,2024/25,2025/03/05,ICC Champions Trophy,,New Zealand,South Africa,New Zealand,50 runs,"Gaddafi Stadium, Lahore",Lahore
1466428,ODI,2024/25,2025/03/09,ICC Champions Trophy,,New Zealand,India,India,4 wickets,Dubai International Cricket Stadium,Dubai
1468879,ODI,2024/25,2025/02/08,ICC Men's Cricket World Cup League 2,49,United States of America,Namibia,United States of America,114 runs,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1468880,ODI,2024/25,2025/02/10,ICC Men's Cricket World Cup League 2,50,Namibia,Oman,Namibia,23 runs,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1468881,ODI,2024/25,2025/02/12,ICC Men's Cricket World Cup League 2,51,United States of America,Oman,Oman,7 wickets,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1468882,ODI,2024/25,2025/02/14,ICC Men's Cricket World Cup League 2,52,United States of America,Namibia,United States of America,70 runs,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1468883,ODI,2024/25,2025/02/16,ICC Men's Cricket World Cup League 2,53,Namibia,Oman,Oman,2 wickets,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1468884,ODI,2024/25,2025/02/18,ICC Men's Cricket World Cup League 2,54,United States of America,Oman,United States of America,57 runs,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1474410,ODI,2024/25,2025/03/07,ICC Men's Cricket World Cup League 2,56,Netherlands,Namibia,Netherlands,53 runs,"Wanderers Cricket Ground, Windhoek",Windhoek
1474411,ODI,2024/25,2025/03/09,ICC Men's Cricket World Cup League 2,57,Canada,Namibia,tie,,"Wanderers Cricket Ground, Windhoek",Windhoek
1474413,ODI,2024/25,2025/03/13,ICC Men's Cricket World Cup League 2,59,Namibia,Netherlands,Netherlands,7 wickets,"Wanderers Cricket Ground, Windhoek",Windhoek
1474414,ODI,2024/25,2025/03/15,ICC Men's Cricket World Cup League 2,60,Namibia,Canada,Namibia,12 runs,"Wanderers Cricket Ground, Windhoek",Windhoek
1481530,ODI,2025,2025/05/06,ICC Men's Cricket World Cup League 2,61,Netherlands,United Arab Emirates,Netherlands,113 runs,"VRA Ground, Amstelveen",Amstelveen
1481531,ODI,2025,2025/05/08,ICC Men's Cricket World Cup League 2,62,United Arab Emirates,Scotland,United Arab Emirates,97 runs,"VRA Ground, Amstelveen",Amstelveen
1481532,ODI,2025,2025/05/10,ICC Men's Cricket World Cup League 2,63,Netherlands,Scotland,Netherlands,19 runs,"VRA Ground, Amstelveen",Amstelveen
1481533,ODI,2025,2025/05/12,ICC Men's Cricket World Cup League 2,64,United Arab Emirates,Netherlands,Netherlands,5 wickets,"Sportpark Maarschalkerweerd, Utrecht",Utrecht
1481534,ODI,2025,2025/05/14,ICC Men's Cricket World Cup League 2,65,United Arab Emirates,Scotland,Scotland,8 wickets,"Sportpark Maarschalkerweerd, Utrecht",Utrecht
